#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
894,[233] N1 N2 S5 N5 N3 S2 N4 S8,1,954.2,27.63333333,9.334106429,10.26666667,3.51563E-05,0.884658813
895,[234] N1 S1 N2 N5 S7 N3 N5 S7,1,954.2,27.63333333,9.334106429,10.26666667,1.75781E-05,0.884676392
896,[203] N1 N2 N5 N3 S2 S1 N4 S8,2,954.2,27.63333333,9.334106429,10.26666667,0.000210938,0.884887329
897,[235] N1 N2 S1 N1 N2 S1 N1 N2 N5 S5,1,954.2333333,27.66666667,9.367439763,10.3,1.09863E-06,0.884888428
898,[236] N1 N2 N5 S7 N3 S3 S2,1,954.2666667,27.7,9.400773096,10.33333333,0.000140625,0.885029053
899,[237] N1 S8 N4 S2 N3 N5 N2 N1 S1,1,954.3,27.73333333,9.434106429,10.36666667,0.000140625,0.885169678
900,[238] N1 N2 S5 N5 N2 S1 N4 S8,1,954.3333333,27.76666667,9.467439763,10.4,0.000140625,0.885310303
901,[204] N1 N2 N5 N3 S7 S6 S5,2,954.3333333,27.76666667,9.467439763,10.4,0.003375,0.888685303
902,[239] N1 N2 S5 S4 N1 N2 N5 N3 S2,1,954.3666667,27.8,9.500773096,10.43333333,0.000140625,0.888825928
903,[158] N1 S1 N4 S2 N3 N5 S5,3,954.3666667,27.8,9.500773096,10.43333333,0.000210938,0.889036865
904,[303] N1 N2 N5 N3 S7 N5 S5 S6,0,954.4,27.83333333,9.534106429,10.46666667,0.000015625,0.88905249
905,[205] N1 N2 S5 N5 N2 S1 N1 N2 S1,2,954.4,27.83333333,9.534106429,10.46666667,2.63672E-05,0.889078857
906,[240] N1 N2 N5 S5 N2 S1 N4 S8,1,954.4333333,27.86666667,9.567439763,10.5,3.51563E-05,0.889114014
907,[241] N1 N2 N5 S7 N7 S3 N3 S2,1,954.4333333,27.86666667,9.567439763,10.5,7.03125E-05,0.889184326
908,[206] N1 N2 S1 N1 N2 S5 N5 N2 S1,2,954.4333333,27.86666667,9.567439763,10.5,2.63672E-05,0.889210693
909,[242] N1 N2 N5 N3 S2 N4 S8 N1 S1,1,954.4666667,27.9,9.600773096,10.53333333,3.51563E-05,0.88924585
910,[243] N1 N2 N5 S5 S4 N1 N2 N5 S5,1,954.4666667,27.9,9.600773096,10.53333333,3.51563E-05,0.889281006
911,[207] N1 N2 S1 N1 N2 N5 S5 N2 S1,2,954.4666667,27.9,9.600773096,10.53333333,6.5918E-06,0.889287598
912,[159] N1 S1 N4 N6 S3 N3 S2,3,954.4666667,27.9,9.600773096,10.53333333,0.00084375,0.890131348
913,[160] N1 N2 S1 N1 N2 N5 N3 S2 S1,3,954.4666667,27.9,9.600773096,10.53333333,1.31836E-05,0.890144531
914,[208] N1 N2 N5 S5 N2 S1 N1 N2 S1,2,954.5,27.93333333,9.634106429,10.56666667,6.5918E-06,0.890151123
915,[304] N1 N2 N5 S7 N3 N5 S5 S6,0,954.5333333,27.96666667,9.667439763,10.6,3.90625E-06,0.890155029
916,[244] N1 S8 N4 S1 N1 N2 N5 N3 S2,1,954.5333333,27.96666667,9.667439763,10.6,7.03125E-05,0.890225342
917,[209] N1 N2 S1 N1 N2 S1 N4 S2,2,954.5333333,27.96666667,9.667439763,10.6,5.27344E-05,0.890278076
918,[245] N1 N2 S1 N4 S2 N3 N5 S5,1,954.6,28.03333333,9.734106429,10.66666667,7.03125E-05,0.890348389
919,[246] N1 S1 N4 S2 N3 N5 N2 S5,1,954.6,28.03333333,9.734106429,10.66666667,0.000140625,0.890489014
920,[210] N1 N2 N5 N3 S2 S1 N2 N5 S7,2,954.6,28.03333333,9.734106429,10.66666667,2.63672E-05,0.890515381
921,[161] N1 S1 N2 N1 S1 N2 N5 N3 S2,3,954.6,28.03333333,9.734106429,10.66666667,1.31836E-05,0.890528564
922,[162] N1 N2 N5 N3 S2 S1 N1 N2 S1,3,954.6,28.03333333,9.734106429,10.66666667,1.31836E-05,0.890541748
923,[163] N1 N2 S1 S2 N3 N5 N2 N1 S1,3,954.6,28.03333333,9.734106429,10.66666667,2.63672E-05,0.890568115
924,[305] N1 N2 S1 N1 N2 N5 N3 S7 S6,0,954.6333333,28.06666667,9.767439763,10.7,7.8125E-06,0.890575928
925,[164] N1 N2 N5 N3 S2 S1 N2 N1 S1,3,954.6333333,28.06666667,9.767439763,10.7,2.63672E-05,0.890602295
926,[211] N1 N2 S1 N1 N2 S5 N5 N3 S2,2,954.6666667,28.1,9.800773096,10.73333333,1.31836E-05,0.890615479
927,[247] N1 N2 S1 N4 N6 S3 N3 S2,1,954.7,28.13333333,9.834106429,10.76666667,0.00028125,0.890896729
928,[306] N1 N2 N5 S5 N2 N5 S7 N3 S2,0,954.7333333,28.16666667,9.867439763,10.8,9.76563E-07,0.890897705
929,[165] N1 S1 N2 N5 N3 S3 S2,3,954.7333333,28.16666667,9.867439763,10.8,0.000105469,0.891003174
930,[307] N1 N2 S5 N5 N2 N1 S8 N4 S1,0,954.7666667,28.2,9.900773096,10.83333333,0.00003125,0.891034424
931,[308] N1 N2 N5 S5 N2 N1 S8 N4 S1,0,954.8,28.23333333,9.934106429,10.86666667,7.8125E-06,0.891042236
932,[309] N1 N2 S1 N1 N2 N5 S5 N2 N5 S5,0,954.8,28.23333333,9.934106429,10.86666667,2.44141E-07,0.89104248
933,[212] N1 N2 S5 N5 N3 S3 S2,2,954.8,28.23333333,9.934106429,10.86666667,0.000210938,0.891253418
934,[248] N1 S8 N4 S2 N3 N5 N2 N1 S4,1,954.8333333,28.26666667,9.967439763,10.9,0.00028125,0.891534668
935,[213] N1 S8 N4 N6 S3 N3 S7,2,954.8333333,28.26666667,9.967439763,10.9,0.00675,0.898284668
936,[166] N1 S1 N4 S2 N3 N5 S7,3,954.8333333,28.26666667,9.967439763,10.9,0.000210938,0.898495605
937,[214] N1 N2 N5 N3 S2 S3 N3 S2,2,954.8666667,28.3,10.0007731,10.93333333,5.27344E-05,0.89854834
938,[167] N1 N2 N5 N3 S3 S2 S1,3,954.8666667,28.3,10.0007731,10.93333333,0.000105469,0.898653809
939,[249] N1 S1 N4 S8 N1 N2 N5 N3 S2,1,954.9,28.33333333,10.03410643,10.96666667,7.03125E-05,0.898724121
940,[250] N1 N2 S1 N1 N2 S1 N1 N2 N5 S7,1,954.9333333,28.36666667,10.06743976,11,1.09863E-06,0.89872522
941,[310] N1 N2 N5 S7 N3 N5 N2 S1 S2,0,954.9666667,28.4,10.1007731,11.03333333,1.95313E-06,0.898727173
942,[251] N1 N2 S5 N5 N2 S5 N5 N2 S1,1,954.9666667,28.4,10.1007731,11.03333333,3.51563E-05,0.898762329
943,[168] N1 N2 S1 N1 N2 S1 N1 N2 S5,3,954.9666667,28.4,10.1007731,11.03333333,6.5918E-06,0.898768921
944,[311] N1 N2 N5 N3 S7 N5 N2 S1 S2,0,955,28.43333333,10.13410643,11.06666667,7.8125E-06,0.898776733
945,[169] N1 N2 S1 N4 S8 N1 N2 S1,3,955,28.43333333,10.13410643,11.06666667,0.000105469,0.898882202
946,[312] N1 S1 N4 S2 N3 N5 N2 N1 S1,0,955.0333333,28.46666667,10.16743976,11.1,0.000015625,0.898897827
947,[252] N1 N2 N5 S5 N2 N5 S5 N2 S1,1,955.0333333,28.46666667,10.16743976,11.1,4.39453E-06,0.898902222
948,[215] N1 N2 N5 S5 N2 N5 N3 S2 S1,2,955.0333333,28.46666667,10.16743976,11.1,2.63672E-05,0.898928589
949,[170] N1 N2 S5 S4 N1 N2 N5 S5,3,955.0333333,28.46666667,10.16743976,11.1,0.000210938,0.899139526
950,[253] N1 N2 S1 N4 S2 N3 N5 S7,1,955.0666667,28.5,10.2007731,11.13333333,7.03125E-05,0.899209839
951,[254] N1 N2 S1 N1 N2 N5 S5 N2 N1 S8,1,955.0666667,28.5,10.2007731,11.13333333,2.19727E-06,0.899212036
952,[255] N1 N2 S1 N1 N2 S5 N5 N2 N1 S8,1,955.1,28.53333333,10.23410643,11.16666667,8.78906E-06,0.899220825
953,[256] N1 N2 S5 N5 N2 N1 S1 N2 N1 S8,1,955.1,28.53333333,10.23410643,11.16666667,1.75781E-05,0.899238403
954,[171] N1 N2 N5 S7 N7 S3 S2,3,955.1,28.53333333,10.23410643,11.16666667,0.000421875,0.899660278
955,[257] N1 N2 N5 S5 N2 N1 S1 N2 N1 S8,1,955.1333333,28.56666667,10.26743976,11.2,4.39453E-06,0.899664673
956,[216] N1 S1 N2 N5 S5 N2 N5 N3 S2,2,955.1333333,28.56666667,10.26743976,11.2,1.31836E-05,0.899677856
957,[172] N1 N2 S1 S2 N3 N5 N2 N1 S4,3,955.1333333,28.56666667,10.26743976,11.2,5.27344E-05,0.899730591
958,[258] N1 N2 S5 N5 N2 S5 N5 N3 S2,1,955.1666667,28.6,10.3007731,11.23333333,1.75781E-05,0.899748169
959,[259] N1 N2 N5 S5 S4 N1 N2 N5 S7,1,955.1666667,28.6,10.3007731,11.23333333,3.51563E-05,0.899783325
960,[173] N1 N2 N5 N3 S2 S1 N2 N1 S4,3,955.1666667,28.6,10.3007731,11.23333333,5.27344E-05,0.89983606
961,[174] N1 N2 S5 N5 N2 N1 S4 S5,3,955.1666667,28.6,10.3007731,11.23333333,0.00084375,0.90067981
962,[313] N1 N2 S5 N5 N2 S1 N1 N2 N5 S5,0,955.2,28.63333333,10.33410643,11.26666667,9.76563E-07,0.900680786
963,[175] N1 N2 N5 S5 N2 N1 S4 S5,3,955.2,28.63333333,10.33410643,11.26666667,0.000210938,0.900891724
964,[176] N1 N2 N5 S5 S4 N1 N2 S5,3,955.2,28.63333333,10.33410643,11.26666667,0.000210938,0.901102661
965,[177] N1 S8 N4 S1 N1 N2 N5 S5,3,955.2,28.63333333,10.33410643,11.26666667,0.000105469,0.90120813
966,[314] N1 N2 S5 N5 N2 N1 S1 N2 N5 S5,0,955.2666667,28.7,10.4007731,11.33333333,1.95313E-06,0.901210083
967,[260] N1 N2 N5 N3 S2 N4 S8 N1 S4,1,955.2666667,28.7,10.4007731,11.33333333,7.03125E-05,0.901280396
968,[261] N1 S8 N4 N6 S3 N3 N5 S5,1,955.2666667,28.7,10.4007731,11.33333333,0.0005625,0.901842896
969,[178] N1 S8 N4 S2 N3 N5 N2 S1,3,955.2666667,28.7,10.4007731,11.33333333,0.000210938,0.902053833
970,[315] N1 N2 N5 S5 N2 N1 S1 N2 N5 S5,0,955.3,28.73333333,10.43410643,11.36666667,4.88281E-07,0.902054321
971,[316] N1 N2 N5 S5 N2 S1 N1 N2 N5 S5,0,955.3,28.73333333,10.43410643,11.36666667,2.44141E-07,0.902054565
972,[317] N1 N2 N5 N3 S3 N7 S7 S6,0,955.3,28.73333333,10.43410643,11.36666667,0.000125,0.902179565
973,[318] N1 N2 N5 N3 S7 N5 N3 S2 S1,0,955.3,28.73333333,10.43410643,11.36666667,7.8125E-06,0.902187378
974,[262] N1 S1 N2 N1 S1 N2 N5 N3 S7,1,955.3,28.73333333,10.43410643,11.36666667,3.51563E-05,0.902222534
975,[179] N1 N2 S1 N4 N6 S3 S2,3,955.3,28.73333333,10.43410643,11.36666667,0.00084375,0.903066284
976,[319] N1 N2 S1 N1 N2 S5 N5 N3 S7,0,955.3333333,28.76666667,10.46743976,11.4,3.90625E-06,0.90307019
977,[320] N1 S1 N2 N5 N3 S7 N5 N2 S1,0,955.3666667,28.8,10.5007731,11.43333333,7.8125E-06,0.903078003
978,[321] N1 S1 N2 N5 S7 N3 N5 N2 S1,0,955.3666667,28.8,10.5007731,11.43333333,1.95313E-06,0.903079956
979,[322] N1 S1 N2 N5 N3 S7 N5 N3 S2,0,955.3666667,28.8,10.5007731,11.43333333,3.90625E-06,0.903083862
980,[217] N1 N2 N5 N3 S2 S1 N4 S2,2,955.3666667,28.8,10.5007731,11.43333333,0.000210938,0.9032948
981,[263] N1 N2 N5 N3 S2 S1 N1 N2 N5 S5,1,955.4,28.83333333,10.53410643,11.46666667,4.39453E-06,0.903299194
982,[264] N1 S1 N2 N1 S1 N2 N5 N3 S3,1,955.4,28.83333333,10.53410643,11.46666667,1.75781E-05,0.903316772
983,[323] N1 N2 S1 N1 N2 S5 N5 N3 S3,0,955.4333333,28.86666667,10.56743976,11.5,1.95313E-06,0.903318726
984,[324] N1 N2 S1 N1 N2 N5 S5 N2 N5 S7,0,955.5,28.93333333,10.63410643,11.56666667,2.44141E-07,0.90331897
985,[265] N1 N2 S5 N5 N2 S1 N4 S2,1,955.5,28.93333333,10.63410643,11.56666667,0.000140625,0.903459595
986,[325] N1 N2 N5 N3 S3 S2 N3 S3,0,955.5333333,28.96666667,10.66743976,11.6,0.000015625,0.90347522
987,[266] N1 S1 N4 N6 S3 N3 S7,1,955.5333333,28.96666667,10.66743976,11.6,0.00225,0.90572522
988,[218] N1 N2 S1 N1 N2 S5 N5 N2 S5,2,955.5333333,28.96666667,10.66743976,11.6,2.63672E-05,0.905751587
989,[326] N1 S1 N4 S2 N3 N5 N2 N1 S4,0,955.5666667,29,10.7007731,11.63333333,0.00003125,0.905782837
990,[219] N1 N2 N5 N3 S2 N4 S1 S2,2,955.5666667,29,10.7007731,11.63333333,5.27344E-05,0.905835571
991,[180] N1 S1 N4 S8 N1 N2 N5 S5,3,955.5666667,29,10.7007731,11.63333333,0.000105469,0.90594104
992,[327] N1 N2 S5 N5 N2 S5 N5 N2 N1 S8,0,955.6,29.03333333,10.73410643,11.66666667,3.90625E-06,0.905944946
993,[267] N1 N2 N5 S5 N2 S1 N4 S2,1,955.6,29.03333333,10.73410643,11.66666667,3.51563E-05,0.905980103
994,[181] N1 S1 N2 N1 S1 N4 N6 S3,3,955.6,29.03333333,10.73410643,11.66666667,0.000421875,0.906401978
995,[328] N1 N2 N5 S5 N2 N5 S5 N2 N1 S8,0,955.6333333,29.06666667,10.76743976,11.7,4.88281E-07,0.906402466
996,[268] N1 N2 S1 N1 N2 N5 S7 N7 S3,1,955.6333333,29.06666667,10.76743976,11.7,1.75781E-05,0.906420044
997,[329] N1 N2 N5 N3 S2 N4 S1 N1 S4,0,955.6666667,29.1,10.8007731,11.73333333,7.8125E-06,0.906427856
998,[182] N1 N2 S5 N5 N3 S7 S6,3,955.6666667,29.1,10.8007731,11.73333333,0.000421875,0.906849731
999,[330] N1 N2 N5 S7 N3 S2 N4 S1,0,955.7,29.13333333,10.83410643,11.76666667,3.90625E-06,0.906853638
1000,[331] N1 N2 S5 N5 N2 N1 S1 N4 S8,0,955.7,29.13333333,10.83410643,11.76666667,0.000015625,0.906869263
1001,[183] N1 S8 N4 S1 N2 N5 N3 S2,3,955.7,29.13333333,10.83410643,11.76666667,0.000105469,0.906974731
1002,[184] N1 S4 S5 N2 N5 N3 S7,3,955.7,29.13333333,10.83410643,11.76666667,0.00084375,0.907818481
1003,[332] N1 N2 N5 S5 N2 N1 S1 N4 S8,0,955.7333333,29.16666667,10.86743976,11.8,3.90625E-06,0.907822388
1004,[269] N1 N2 N5 N3 S2 S1 N2 N5 N3 S2,1,955.7333333,29.16666667,10.86743976,11.8,8.78906E-06,0.907831177
1005,[185] N1 N2 N5 S5 N2 N5 S7 S6,3,955.7333333,29.16666667,10.86743976,11.8,2.63672E-05,0.907857544
1006,[186] N1 N2 S5 S4 N1 N2 N5 S7,3,955.7333333,29.16666667,10.86743976,11.8,0.000210938,0.908068481
1007,[270] N1 N2 S1 N1 N2 S1 N4 N6 S3,1,955.7666667,29.2,10.9007731,11.83333333,7.03125E-05,0.908138794
1008,[271] N1 S8 N4 N6 S3 N3 N5 S7,1,955.7666667,29.2,10.9007731,11.83333333,0.0005625,0.908701294
1009,[187] N1 N2 N5 S5 N2 N5 S5 S4,3,955.7666667,29.2,10.9007731,11.83333333,2.63672E-05,0.908727661
1010,[272] N1 S1 N2 N5 N3 S3 N7 S7,1,955.8,29.23333333,10.93410643,11.86666667,0.00028125,0.909008911
1011,[273] N1 N2 S1 N4 S8 N1 N2 N5 S5,1,955.8,29.23333333,10.93410643,11.86666667,3.51563E-05,0.909044067
1012,[220] N1 N2 S5 N5 S7 N3 S3,2,955.8,29.23333333,10.93410643,11.86666667,0.000421875,0.909465942
1013,[188] N1 S4 S5 N2 N5 N3 S3,3,955.8,29.23333333,10.93410643,11.86666667,0.000421875,0.909887817
1014,[333] N1 S1 N2 N5 S5 N2 N5 N3 S7,0,955.8333333,29.26666667,10.96743976,11.9,3.90625E-06,0.909891724
1015,[274] N1 S1 N2 N5 N3 S7 N7 S3,1,955.8333333,29.26666667,10.96743976,11.9,0.00028125,0.910172974
1016,[189] N1 N2 S1 N1 N2 S1 N4 S8,3,955.8666667,29.3,11.0007731,11.93333333,2.63672E-05,0.910199341
1017,[334] N1 N2 N5 N3 S3 S2 N3 S7,0,955.9,29.33333333,11.03410643,11.96666667,0.00003125,0.910230591
1018,[335] N1 N2 S5 N5 N2 S1 N1 N2 N5 S7,0,955.9,29.33333333,11.03410643,11.96666667,9.76563E-07,0.910231567
1019,[336] N1 N2 S5 N5 N3 S3 N7 S7,0,955.9,29.33333333,11.03410643,11.96666667,0.0000625,0.910294067
1020,[337] N1 N2 S5 N5 N3 S7 N7 S3,0,955.9,29.33333333,11.03410643,11.96666667,0.0000625,0.910356567
1021,[221] N1 S8 N4 S2 N3 N5 N2 N1 S8,2,955.9,29.33333333,11.03410643,11.96666667,0.000210938,0.910567505
1022,[190] N1 S1 N2 N5 S7 N3 S3,3,955.9,29.33333333,11.03410643,11.96666667,0.000105469,0.910672974
1023,[191] N1 S8 N4 S1 N1 N2 N5 S7,3,955.9,29.33333333,11.03410643,11.96666667,0.000105469,0.910778442
1024,[338] N1 N2 N5 N3 S2 S3 N3 S7,0,955.9333333,29.36666667,11.06743976,12,0.000015625,0.910794067
1025,[339] N1 S1 N2 N5 S5 N2 N5 N3 S3,0,955.9333333,29.36666667,11.06743976,12,1.95313E-06,0.910796021
1026,[275] N1 N2 N5 S7 N3 N5 S7 S6,1,955.9333333,29.36666667,11.06743976,12,3.51563E-05,0.910831177
1027,[222] N1 N2 S5 N5 N2 S1 N1 N2 S5,2,955.9333333,29.36666667,11.06743976,12,5.27344E-05,0.910883911
1028,[340] N1 S1 N4 N6 S3 N3 N5 S5,0,955.9666667,29.4,11.1007731,12.03333333,0.0000625,0.910946411
1029,[341] N1 N2 S5 N5 N2 N1 S1 N2 N5 S7,0,955.9666667,29.4,11.1007731,12.03333333,1.95313E-06,0.910948364
1030,[276] N1 N2 S1 N1 N2 N5 S5 N2 N1 S1,1,955.9666667,29.4,11.1007731,12.03333333,2.19727E-06,0.910950562
1031,[277] N1 N2 S1 N1 N2 S5 N5 N2 N1 S1,1,955.9666667,29.4,11.1007731,12.03333333,8.78906E-06,0.910959351
1032,[278] N1 N2 S5 N5 N2 N1 S1 N2 N1 S1,1,955.9666667,29.4,11.1007731,12.03333333,1.75781E-05,0.910976929
1033,[342] N1 N2 N5 S5 N2 N1 S1 N2 N5 S7,0,956,29.43333333,11.13410643,12.06666667,4.88281E-07,0.910977417
1034,[343] N1 N2 N5 S5 N2 S1 N1 N2 N5 S7,0,956,29.43333333,11.13410643,12.06666667,2.44141E-07,0.910977661
1035,[279] N1 N2 N5 S5 N2 N1 S1 N2 N1 S1,1,956,29.43333333,11.13410643,12.06666667,4.39453E-06,0.910982056
1036,[223] N1 S1 N4 S2 N3 N5 N2 S1,2,956,29.43333333,11.13410643,12.06666667,0.000210938,0.911192993
1037,[224] N1 N2 N5 S5 N2 S1 N1 N2 S5,2,956.0333333,29.46666667,11.16743976,12.1,1.31836E-05,0.911206177
1038,[225] N1 N2 S5 N5 N2 N1 S1 N2 S5,2,956.0333333,29.46666667,11.16743976,12.1,5.27344E-05,0.911258911
1039,[344] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S2,0,956.0666667,29.5,11.2007731,12.13333333,1.2207E-07,0.911259033
1040,[280] N1 N2 S5 N5 N2 S5 N5 N2 S5,1,956.0666667,29.5,11.2007731,12.13333333,3.51563E-05,0.911294189
1041,[226] N1 S1 N2 N5 N3 S7 N5 S5,2,956.0666667,29.5,11.2007731,12.13333333,0.000105469,0.911399658
1042,[227] N1 N2 N5 S5 N2 N1 S1 N2 S5,2,956.0666667,29.5,11.2007731,12.13333333,1.31836E-05,0.911412842
1043,[281] N1 N2 N5 N3 S2 S1 N1 N2 N5 S7,1,956.1,29.53333333,11.23410643,12.16666667,4.39453E-06,0.911417236
1044,[282] N1 N2 N5 N3 S7 N5 S5 S4,1,956.1,29.53333333,11.23410643,12.16666667,0.000140625,0.911557861
1045,[283] N1 N2 S5 N5 N3 S7 N5 S5,1,956.1333333,29.56666667,11.26743976,12.2,7.03125E-05,0.911628174
1046,[284] N1 N2 S5 N5 S7 N3 N5 S5,1,956.1333333,29.56666667,11.26743976,12.2,3.51563E-05,0.91166333
1047,[228] N1 S1 N2 N5 N3 S2 N4 S1,2,956.1333333,29.56666667,11.26743976,12.2,5.27344E-05,0.911716064
1048,[229] N1 N2 S1 N1 N2 N5 N3 S2 S3,2,956.1333333,29.56666667,11.26743976,12.2,1.31836E-05,0.911729248
1049,[192] N1 N2 N5 N3 S2 S1 N1 N2 S5,3,956.1333333,29.56666667,11.26743976,12.2,2.63672E-05,0.911755615
1050,[285] N1 N2 S5 N5 N3 S2 N4 S1,1,956.1666667,29.6,11.3007731,12.23333333,3.51563E-05,0.911790771
1051,[345] N1 N2 N5 S5 N2 N5 S7 N7 S3,0,956.2,29.63333333,11.33410643,12.26666667,3.90625E-06,0.911794678
1052,[286] N1 N2 N5 S7 N3 N5 S5 S4,1,956.2,29.63333333,11.33410643,12.26666667,3.51563E-05,0.911829834
1053,[346] N1 N2 S1 N4 S2 N3 N5 N2 S1,0,956.2333333,29.66666667,11.36743976,12.3,7.8125E-06,0.911837646
1054,[347] N1 N2 S1 N1 N2 N5 N3 S3 S2,0,956.2333333,29.66666667,11.36743976,12.3,1.95313E-06,0.9118396
1055,[287] N1 N2 N5 S7 N3 S2 N4 S8,1,956.2333333,29.66666667,11.36743976,12.3,1.75781E-05,0.911857178
1056,[230] N1 S1 N2 N5 S7 N3 N5 S5,2,956.2333333,29.66666667,11.36743976,12.3,2.63672E-05,0.911883545
1057,[193] N1 S1 N4 N6 S3 N7 S7,3,956.2333333,29.66666667,11.36743976,12.3,0.00675,0.918633545
1058,[194] N1 S1 N4 S8 N1 N2 N5 S7,3,956.2333333,29.66666667,11.36743976,12.3,0.000105469,0.918739014
1059,[348] N1 N2 N5 S5 S4 N1 N2 N5 N3 S2,0,956.3,29.73333333,11.43410643,12.36666667,3.90625E-06,0.91874292
1060,[195] N1 N2 S1 N4 S2 N3 S3,3,956.3333333,29.76666667,11.46743976,12.4,0.000210938,0.918953857
1061,[196] N1 S8 N4 S2 N3 N5 N2 S5,3,956.3666667,29.8,11.5007731,12.43333333,0.000210938,0.919164795
1062,[197] N1 N2 S5 N5 N2 S5 N5 S7,3,956.3666667,29.8,11.5007731,12.43333333,5.27344E-05,0.919217529
1063,[288] N1 S8 N4 S1 N2 N5 N3 S7,1,956.4,29.83333333,11.53410643,12.46666667,0.00028125,0.919498779
1064,[198] N1 N2 N5 N3 S2 S1 N2 N5 S5,3,956.4,29.83333333,11.53410643,12.46666667,1.31836E-05,0.919511963
1065,[349] N1 N2 N5 N3 S2 S3 N6 N4 S8,0,956.4333333,29.86666667,11.56743976,12.5,7.8125E-06,0.919519775
1066,[289] N1 N2 S1 N4 N6 S3 N7 S7,1,956.4333333,29.86666667,11.56743976,12.5,0.00225,0.921769775
1067,[350] N1 S1 N4 N6 S3 N3 N5 S7,0,956.4666667,29.9,11.6007731,12.53333333,0.0000625,0.921832275
1068,[351] N1 S1 N2 N5 N3 S7 N5 N2 S5,0,956.4666667,29.9,11.6007731,12.53333333,7.8125E-06,0.921840088
1069,[352] N1 S1 N2 N5 S7 N3 N5 N2 S5,0,956.4666667,29.9,11.6007731,12.53333333,1.95313E-06,0.921842041
1070,[290] N1 S1 N2 N5 N3 S2 N4 N6 S3,1,956.4666667,29.9,11.6007731,12.53333333,7.03125E-05,0.921912354
1071,[291] N1 N2 S1 N4 S8 N1 N2 N5 S7,1,956.4666667,29.9,11.6007731,12.53333333,3.51563E-05,0.92194751
1072,[292] N1 N2 S5 N5 N2 N1 S8 N4 S2,1,956.4666667,29.9,11.6007731,12.53333333,0.000140625,0.922088135
1073,[353] N1 N2 S5 N5 N3 S2 N4 N6 S3,0,956.5,29.93333333,11.63410643,12.56666667,0.000015625,0.92210376
1074,[354] N1 N2 S5 N5 N2 S5 N5 N2 N1 S1,0,956.5,29.93333333,11.63410643,12.56666667,3.90625E-06,0.922107666
1075,[293] N1 S8 N4 S1 N2 N5 N3 S3,1,956.5,29.93333333,11.63410643,12.56666667,0.000140625,0.922248291
1076,[294] N1 N2 N5 S5 N2 N1 S8 N4 S2,1,956.5,29.93333333,11.63410643,12.56666667,3.51563E-05,0.922283447
1077,[295] N1 N2 S1 N1 N2 N5 S5 N2 N1 S4,1,956.5,29.93333333,11.63410643,12.56666667,4.39453E-06,0.922287842
1078,[296] N1 N2 S1 N1 N2 S5 N5 N2 N1 S4,1,956.5,29.93333333,11.63410643,12.56666667,1.75781E-05,0.92230542
1079,[199] N1 N2 S1 N4 S8 N1 N2 S5,3,956.5,29.93333333,11.63410643,12.56666667,0.000210938,0.922516357
1080,[355] N1 N2 N5 S5 N2 N5 S5 N2 N1 S1,0,956.5333333,29.96666667,11.66743976,12.6,4.88281E-07,0.922516846
1081,[297] N1 N2 S5 N5 N2 N1 S1 N2 N1 S4,1,956.5333333,29.96666667,11.66743976,12.6,3.51563E-05,0.922552002
1082,[298] N1 N2 N5 S5 N2 N1 S1 N2 N1 S4,1,956.5666667,30,11.7007731,12.63333333,8.78906E-06,0.922560791
1083,[299] N1 N2 N5 N3 S2 S1 N4 N6 S3,1,956.6,30.03333333,11.73410643,12.66666667,0.00028125,0.922842041
1084,[300] N1 N2 S5 N5 S7 N3 N5 S7,1,956.6,30.03333333,11.73410643,12.66666667,3.51563E-05,0.922877197
1085,[231] N1 N2 N5 N3 S2 S3 N7 S7,2,956.6,30.03333333,11.73410643,12.66666667,0.000421875,0.923299072
1086,[200] N1 N2 N5 S5 N2 N5 S5 S6,3,956.6,30.03333333,11.73410643,12.66666667,1.31836E-05,0.923312256
1087,[301] N1 S1 N4 S2 N3 N5 N2 N1 S8,1,956.6666667,30.1,11.8007731,12.73333333,7.03125E-05,0.923382568
1088,[302] N1 N2 N5 S5 N2 N5 N3 S2 S3,1,956.6666667,30.1,11.8007731,12.73333333,8.78906E-06,0.923391357
1089,[232] N1 N2 S1 N1 N2 N5 S7 N3 S2,2,956.6666667,30.1,11.8007731,12.73333333,6.5918E-06,0.923397949
1090,[201] N1 N2 S1 N4 S2 N3 S7,3,956.6666667,30.1,11.8007731,12.73333333,0.000421875,0.923819824
1091,[202] N1 S1 N2 N5 N3 S2 N4 S8,3,956.6666667,30.1,11.8007731,12.73333333,2.63672E-05,0.923846191
1092,[233] N1 N2 S5 N5 N3 S2 N4 S8,2,956.7,30.13333333,11.83410643,12.76666667,5.27344E-05,0.923898926
1093,[234] N1 S1 N2 N5 S7 N3 N5 S7,2,956.7,30.13333333,11.83410643,12.76666667,2.63672E-05,0.923925293
1094,[203] N1 N2 N5 N3 S2 S1 N4 S8,3,956.7,30.13333333,11.83410643,12.76666667,0.000105469,0.924030762
1095,[356] N1 N2 S5 N5 N2 S1 N4 N6 S3,0,956.7333333,30.16666667,11.86743976,12.8,0.0000625,0.924093262
1096,[235] N1 N2 S1 N1 N2 S1 N1 N2 N5 S5,2,956.7333333,30.16666667,11.86743976,12.8,1.64795E-06,0.92409491
