#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
1128,[212] N1 N2 S1 N1 N2 S5 N5 N3 S2,3,55.433,31.026,12.183,13.194,0.000007 ,0.928003 ,
1129,[246] N1 N2 S1 N1 N2 S1 N1 N2 N5 S5,2,55.455,31.048,12.205,13.216,0.000002 ,0.928005 ,
1130,[213] N1 N2 S5 N5 N3 S3 S2,3,55.483,31.076,12.233,13.244,0.000105 ,0.928110 ,
1131,[304] N1 N2 N5 S5 N2 N1 S1 N2 N1 S4,1,55.521,31.114,12.271,13.282,0.000009 ,0.928176 ,
1131,[304] N1 N2 S1 N1 N2 N5 S5 N2 N1 S4,1,55.521,31.114,12.271,13.282,0.000004 ,0.928176 ,
1131,[304] N1 N2 S1 N1 N2 S5 N5 N2 N1 S4,1,55.521,31.114,12.271,13.282,0.000018 ,0.928176 ,
1131,[304] N1 N2 S5 N5 N2 N1 S1 N2 N1 S4,1,55.521,31.114,12.271,13.282,0.000035 ,0.928176 ,
1135,[247] N1 N2 S5 S4 N1 N2 N5 N3 S2,2,55.529,31.122,12.279,13.29,0.000211 ,0.928387 ,
1136,[308] N1 N2 N5 S7 N3 S2 N4 S1,1,55.532,31.125,12.282,13.293,0.000018 ,0.928404 ,
1137,[214] N1 S1 N2 N5 S5 N2 N5 N3 S2,3,55.567,31.16,12.317,13.328,0.000007 ,0.928411 ,
1138,[309] N1 N2 N5 N3 S7 N5 N2 S1 S2,1,55.647,31.24,12.397,13.408,0.000035 ,0.928455 ,
1138,[309] N1 N2 N5 S7 N3 N5 N2 S1 S2,1,55.647,31.24,12.397,13.408,0.000009 ,0.928455 ,
1140,[248] N1 S1 N4 S8 N1 N2 N5 N3 S2,2,55.651,31.244,12.401,13.412,0.000105 ,0.928666 ,
1140,[248] N1 S8 N4 S1 N1 N2 N5 N3 S2,2,55.651,31.244,12.401,13.412,0.000105 ,0.928666 ,
1142,[311] N1 N2 S1 N1 N2 N5 N3 S7 S6,1,55.764,31.357,12.514,13.525,0.000035 ,0.928745 ,
1142,[311] N1 S1 N2 N5 N3 S7 N5 N2 S1,1,55.764,31.357,12.514,13.525,0.000035 ,0.928745 ,
1142,[311] N1 S1 N2 N5 S7 N3 N5 N2 S1,1,55.764,31.357,12.514,13.525,0.000009 ,0.928745 ,
1145,[369] N1 N2 S1 N1 N2 N5 S7 N3 S3,0,55.766,31.359,12.516,13.527,0.000002 ,0.928747 ,
1146,[215] N1 N2 N5 S5 N2 N5 N3 S2 S1,3,55.767,31.36,12.517,13.528,0.000013 ,0.928760 ,
1147,[250] N1 N2 N5 S5 N2 N5 S5 N2 S1,2,55.772,31.365,12.522,13.533,0.000007 ,0.928820 ,
1147,[250] N1 N2 S5 N5 N2 S5 N5 N2 S1,2,55.772,31.365,12.522,13.533,0.000053 ,0.928820 ,
1149,[216] N1 S8 N4 N6 S3 N3 S7,3,55.781,31.374,12.531,13.542,0.003375 ,0.932195 ,
1150,[217] N1 N2 N5 N3 S2 N4 S1 S2,3,55.815,31.408,12.565,13.576,0.000026 ,0.932326 ,
1150,[217] N1 N2 N5 N3 S2 S1 N4 S2,3,55.815,31.408,12.565,13.576,0.000105 ,0.932326 ,
1152,[252] N1 N2 N5 N3 S2 S1 N2 N5 N3 S2,2,55.816,31.409,12.566,13.577,0.000013 ,0.932340 ,
1153,[253] N1 N2 N5 S5 N2 S1 N4 S2,2,55.82,31.413,12.57,13.581,0.000053 ,0.932603 ,
1153,[253] N1 N2 S5 N5 N2 S1 N4 S2,2,55.82,31.413,12.57,13.581,0.000211 ,0.932603 ,
1155,[314] N1 S1 N2 N5 N3 S7 N5 N3 S2,1,55.848,31.441,12.598,13.609,0.000018 ,0.932621 ,
1156,[315] N1 N2 N5 S5 N2 N1 S8 N4 S1,1,55.856,31.449,12.606,13.617,0.000035 ,0.932823 ,
1156,[315] N1 N2 S5 N5 N2 N1 S8 N4 S1,1,55.856,31.449,12.606,13.617,0.000141 ,0.932823 ,
1156,[255] N1 N2 S5 N5 N2 S5 N5 N3 S2,2,55.856,31.449,12.606,13.617,0.000026 ,0.932823 ,
1159,[256] N1 N2 N5 N3 S2 S1 N1 N2 N5 S5,2,55.873,31.466,12.623,13.634,0.000007 ,0.932830 ,
1160,[317] N1 N2 N5 S5 N2 N1 S1 N2 N5 S5,1,55.878,31.471,12.628,13.639,0.000002 ,0.932847 ,
1160,[317] N1 N2 N5 S5 N2 S1 N1 N2 N5 S5,1,55.878,31.471,12.628,13.639,0.000001 ,0.932847 ,
1160,[317] N1 N2 S1 N1 N2 N5 S5 N2 N5 S5,1,55.878,31.471,12.628,13.639,0.000001 ,0.932847 ,
1160,[317] N1 N2 S5 N5 N2 N1 S1 N2 N5 S5,1,55.878,31.471,12.628,13.639,0.000009 ,0.932847 ,
1160,[317] N1 N2 S5 N5 N2 S1 N1 N2 N5 S5,1,55.878,31.471,12.628,13.639,0.000004 ,0.932847 ,
1165,[257] N1 N2 N5 N3 S2 N4 S8 N1 S4,2,55.901,31.494,12.651,13.662,0.000105 ,0.933374 ,
1165,[257] N1 S8 N4 S2 N3 N5 N2 N1 S4,2,55.901,31.494,12.651,13.662,0.000422 ,0.933374 ,
1167,[370] N1 N2 S1 N4 S8 N1 N2 N5 N3 S2,0,55.905,31.498,12.655,13.666,0.000004 ,0.933378 ,
1168,[219] N1 S1 N2 N5 N3 S2 N4 S1,3,55.932,31.525,12.682,13.693,0.000026 ,0.933510 ,
1168,[219] N1 S1 N4 S2 N3 N5 N2 S1,3,55.932,31.525,12.682,13.693,0.000105 ,0.933510 ,
1170,[371] N1 N2 N5 S5 N2 N5 S5 N2 N1 S4,0,55.944,31.537,12.694,13.705,0.000001 ,0.933519 ,
1170,[371] N1 N2 S5 N5 N2 S5 N5 N2 N1 S4,0,55.944,31.537,12.694,13.705,0.000008 ,0.933519 ,
1172,[373] N1 N2 N5 N3 S2 S3 N6 N4 S1,0,55.955,31.548,12.705,13.716,0.000016 ,0.933535 ,
1173,[322] N1 N2 N5 N3 S2 S3 N3 S7,1,55.968,31.561,12.718,13.729,0.000070 ,0.933746 ,
1173,[322] N1 N2 N5 N3 S3 S2 N3 S7,1,55.968,31.561,12.718,13.729,0.000141 ,0.933746 ,
1175,[259] N1 S1 N4 N6 S3 N3 S7,2,55.984,31.577,12.734,13.745,0.003375 ,0.937121 ,
1176,[324] N1 N2 N5 N3 S3 S2 N3 S3,1,55.985,31.578,12.735,13.746,0.000070 ,0.937191 ,
1177,[374] N1 N2 N5 S7 N3 S3 N7 S7,0,56.001,31.594,12.751,13.762,0.000063 ,0.937285 ,
1177,[374] N1 N2 N5 S7 N7 S3 N3 S7,0,56.001,31.594,12.751,13.762,0.000031 ,0.937285 ,
1179,[325] N1 N2 N5 N3 S3 N7 S7 S6,1,56.016,31.609,12.766,13.777,0.000563 ,0.937847 ,
1180,[260] N1 N2 N5 S5 S4 N1 N2 N5 S7,2,56.019,31.612,12.769,13.78,0.000053 ,0.937900 ,
1181,[376] N1 N2 N5 S7 N3 S2 N4 N6 S3,0,56.034,31.627,12.784,13.795,0.000008 ,0.937908 ,
1182,[326] N1 N2 N5 N3 S7 N5 N3 S2 S1,1,56.048,31.641,12.798,13.809,0.000035 ,0.937943 ,
1183,[377] N1 N2 N5 N3 S7 N5 S5 N2 S1,0,56.053,31.646,12.803,13.814,0.000004 ,0.937959 ,
1183,[377] N1 N2 N5 S7 N3 N5 S5 N2 S1,0,56.053,31.646,12.803,13.814,0.000001 ,0.937959 ,
1183,[377] N1 N2 S5 N5 N3 S7 N5 N2 S1,0,56.053,31.646,12.803,13.814,0.000008 ,0.937959 ,
1183,[377] N1 N2 S5 N5 S7 N3 N5 N2 S1,0,56.053,31.646,12.803,13.814,0.000004 ,0.937959 ,
1187,[327] N1 N2 N5 N3 S2 N4 S1 N1 S4,1,56.104,31.697,12.854,13.865,0.000035 ,0.938135 ,
1187,[327] N1 S1 N4 S2 N3 N5 N2 N1 S4,1,56.104,31.697,12.854,13.865,0.000141 ,0.938135 ,
1189,[261] N1 N2 S1 N1 N2 S1 N1 N2 N5 S7,2,56.132,31.725,12.882,13.893,0.000002 ,0.938137 ,
1190,[381] N1 N2 S5 N5 N3 S7 N5 N3 S2,0,56.137,31.73,12.887,13.898,0.000004 ,0.938141 ,
1191,[262] N1 S1 N2 N1 S1 N2 N5 N3 S7,2,56.149,31.742,12.899,13.91,0.000053 ,0.938193 ,
1192,[263] N1 S1 N2 N1 S1 N2 N5 N3 S3,2,56.166,31.759,12.916,13.927,0.000026 ,0.938220 ,
1193,[264] N1 N2 N5 S5 N2 N1 S1 N2 N1 S8,2,56.185,31.778,12.935,13.946,0.000007 ,0.938269 ,
1193,[264] N1 N2 S1 N1 N2 N5 S5 N2 N1 S8,2,56.185,31.778,12.935,13.946,0.000003 ,0.938269 ,
1193,[264] N1 N2 S1 N1 N2 S5 N5 N2 N1 S8,2,56.185,31.778,12.935,13.946,0.000013 ,0.938269 ,
1193,[264] N1 N2 S5 N5 N2 N1 S1 N2 N1 S8,2,56.185,31.778,12.935,13.946,0.000026 ,0.938269 ,
1197,[329] N1 N2 S1 N4 S2 N3 N5 N2 S1,1,56.186,31.779,12.936,13.947,0.000035 ,0.938304 ,
1198,[382] N1 N2 N5 S5 N2 N5 N3 S7 S6,0,56.187,31.78,12.937,13.948,0.000008 ,0.938312 ,
1199,[383] N1 N2 S1 N1 N2 N5 N3 S2 N4 S8,0,56.189,31.782,12.939,13.95,0.000000 ,0.938313 ,
1200,[268] N1 S8 N4 N6 S3 N3 N5 S5,2,56.191,31.784,12.941,13.952,0.000844 ,0.939156 ,
1201,[269] N1 N2 S5 N5 N3 S2 N4 S1,2,56.221,31.814,12.971,13.982,0.000053 ,0.939209 ,
1202,[384] N1 N2 S1 N4 N6 S3 N3 S7,0,56.238,31.831,12.988,13.999,0.000125 ,0.939334 ,
1203,[385] N1 N2 N5 N3 S3 S2 N4 S8,0,56.239,31.832,12.989,14,0.000008 ,0.939342 ,
1204,[270] N1 N2 N5 S7 N3 S2 N4 S8,2,56.247,31.84,12.997,14.008,0.000026 ,0.939368 ,
1205,[386] N1 S1 N2 N5 N3 S3 N6 N4 S8,0,56.256,31.849,13.006,14.017,0.000008 ,0.939376 ,
1206,[387] N1 N2 N5 S5 N2 N5 S5 N2 N5 S5,0,56.301,31.894,13.051,14.062,0.000000 ,0.939376 ,
1207,[388] N1 N2 N5 S5 N2 N1 S8 N4 N6 S3,0,56.358,31.951,13.108,14.119,0.000016 ,0.939455 ,
1207,[388] N1 N2 S5 N5 N2 N1 S8 N4 N6 S3,0,56.358,31.951,13.108,14.119,0.000063 ,0.939455 ,
1209,[390] N1 N2 N5 N3 S2 S3 N3 N5 S5,0,56.378,31.971,13.128,14.139,0.000002 ,0.939460 ,
1209,[390] N1 N2 N5 N3 S3 S2 N3 N5 S5,0,56.378,31.971,13.128,14.139,0.000004 ,0.939460 ,
1211,[330] N1 S1 N4 N6 S3 N3 N5 S5,1,56.394,31.987,13.144,14.155,0.000281 ,0.939742 ,
1212,[271] N1 S1 N2 N5 N3 S3 N7 S7,2,56.401,31.994,13.151,14.162,0.000422 ,0.940164 ,
1213,[272] N1 S1 N2 N5 N3 S2 N4 N6 S3,2,56.434,32.027,13.184,14.195,0.000105 ,0.940269 ,
1214,[331] N1 N2 S1 N1 N2 S5 N5 N3 S7,1,56.438,32.031,13.188,14.199,0.000018 ,0.940287 ,
1215,[332] N1 N2 S1 N1 N2 S5 N5 N3 S3,1,56.455,32.048,13.205,14.216,0.000009 ,0.940295 ,
1216,[221] N1 N2 S5 N5 S7 N3 S3,3,56.513,32.106,13.263,14.274,0.000211 ,0.940506 ,
1217,[392] N1 N2 S5 S4 N1 N2 N5 N3 S7,0,56.534,32.127,13.284,14.295,0.000063 ,0.940569 ,
1218,[273] N1 N2 N5 N3 S2 S1 N1 N2 N5 S7,2,56.55,32.143,13.3,14.311,0.000007 ,0.940575 ,
1219,[393] N1 N2 S5 S4 N1 N2 N5 N3 S3,0,56.551,32.144,13.301,14.312,0.000031 ,0.940607 ,
1220,[333] N1 N2 N5 S5 N2 N1 S1 N2 N5 S7,1,56.555,32.148,13.305,14.316,0.000002 ,0.940624 ,
1220,[333] N1 N2 N5 S5 N2 S1 N1 N2 N5 S7,1,56.555,32.148,13.305,14.316,0.000001 ,0.940624 ,
1220,[333] N1 N2 S1 N1 N2 N5 S5 N2 N5 S7,1,56.555,32.148,13.305,14.316,0.000001 ,0.940624 ,
1220,[333] N1 N2 S5 N5 N2 N1 S1 N2 N5 S7,1,56.555,32.148,13.305,14.316,0.000009 ,0.940624 ,
1220,[333] N1 N2 S5 N5 N2 S1 N1 N2 N5 S7,1,56.555,32.148,13.305,14.316,0.000004 ,0.940624 ,
1225,[222] N1 S8 N4 S2 N3 N5 N2 N1 S8,3,56.565,32.158,13.315,14.326,0.000105 ,0.940730 ,
1226,[338] N1 S1 N2 N5 S5 N2 N5 N3 S7,1,56.572,32.165,13.322,14.333,0.000018 ,0.940747 ,
1227,[223] N1 N2 S1 N1 N2 N5 N3 S2 S3,3,56.58,32.173,13.33,14.341,0.000007 ,0.940754 ,
1228,[339] N1 S1 N2 N5 S5 N2 N5 N3 S3,1,56.589,32.182,13.339,14.35,0.000009 ,0.940763 ,
1229,[394] N1 N2 N5 N3 S7 N5 N2 S1 N1 S8,0,56.6,32.193,13.35,14.361,0.000002 ,0.940770 ,
1229,[394] N1 N2 N5 S7 N3 N5 N2 S1 N1 S8,0,56.6,32.193,13.35,14.361,0.000000 ,0.940770 ,
1229,[394] N1 S1 N2 N5 N3 S7 N5 N2 N1 S8,0,56.6,32.193,13.35,14.361,0.000004 ,0.940770 ,
1229,[394] N1 S1 N2 N5 S7 N3 N5 N2 N1 S8,0,56.6,32.193,13.35,14.361,0.000001 ,0.940770 ,
1233,[340] N1 N2 N5 S5 N2 N5 S5 N2 N1 S8,1,56.608,32.201,13.358,14.369,0.000002 ,0.940790 ,
1233,[340] N1 N2 S5 N5 N2 S5 N5 N2 N1 S8,1,56.608,32.201,13.358,14.369,0.000018 ,0.940790 ,
1235,[274] N1 N2 S1 N1 N2 N5 S7 N7 S3,2,56.613,32.206,13.363,14.374,0.000026 ,0.940816 ,
1236,[224] N1 S1 N2 N5 N3 S7 N5 S5,3,56.617,32.21,13.367,14.378,0.000053 ,0.940882 ,
1236,[224] N1 S1 N2 N5 S7 N3 N5 S5,3,56.617,32.21,13.367,14.378,0.000013 ,0.940882 ,
1238,[275] N1 S1 N2 N5 N3 S7 N7 S3,2,56.63,32.223,13.38,14.391,0.000422 ,0.941304 ,
1239,[398] N1 S1 N4 S8 N1 N2 N5 N3 S7,0,56.656,32.249,13.406,14.417,0.000031 ,0.941366 ,
1239,[398] N1 S8 N4 S1 N1 N2 N5 N3 S7,0,56.656,32.249,13.406,14.417,0.000031 ,0.941366 ,
1241,[342] N1 N2 N5 N3 S2 S3 N6 N4 S8,1,56.67,32.263,13.42,14.431,0.000035 ,0.941402 ,
1242,[400] N1 S1 N4 S8 N1 N2 N5 N3 S3,0,56.673,32.266,13.423,14.434,0.000016 ,0.941433 ,
1242,[400] N1 S8 N4 S1 N1 N2 N5 N3 S3,0,56.673,32.266,13.423,14.434,0.000016 ,0.941433 ,
1244,[276] N1 N2 S1 N4 S8 N1 N2 N5 S5,2,56.674,32.267,13.424,14.435,0.000053 ,0.941486 ,
1245,[343] N1 N2 S5 N5 N3 S3 N7 S7,1,56.69,32.283,13.44,14.451,0.000281 ,0.941767 ,
1246,[402] N1 N2 N5 S7 N7 S3 N6 N4 S8,0,56.703,32.296,13.453,14.464,0.000016 ,0.941782 ,
1247,[344] N1 N2 S5 N5 N3 S2 N4 N6 S3,1,56.723,32.316,13.473,14.484,0.000070 ,0.941853 ,
1248,[403] N1 N2 N5 N3 S2 N4 S8 N1 N2 S5,0,56.756,32.349,13.506,14.517,0.000004 ,0.941857 ,
1249,[277] N1 N2 N5 N3 S2 N4 S1 N1 S8,2,56.768,32.361,13.518,14.529,0.000026 ,0.941989 ,
1249,[277] N1 S1 N4 S2 N3 N5 N2 N1 S8,2,56.768,32.361,13.518,14.529,0.000105 ,0.941989 ,
1251,[345] N1 N2 N5 S5 N2 N1 S1 N4 S8,1,56.774,32.367,13.524,14.535,0.000018 ,0.942076 ,
1251,[345] N1 N2 S5 N5 N2 N1 S1 N4 S8,1,56.774,32.367,13.524,14.535,0.000070 ,0.942076 ,
1253,[226] N1 N2 N5 N3 S2 S3 N7 S7,3,56.815,32.408,13.565,14.576,0.000211 ,0.942287 ,
1254,[404] N1 N2 N5 N3 S2 S1 N2 N5 N3 S7,0,56.821,32.414,13.571,14.582,0.000004 ,0.942291 ,
1255,[405] N1 S8 N4 N6 S3 N3 N5 N2 S5,0,56.823,32.416,13.573,14.584,0.000063 ,0.942354 ,
1256,[227] N1 N2 N5 S5 N2 N1 S1 N2 S5,3,56.834,32.427,13.584,14.595,0.000007 ,0.942433 ,
1256,[227] N1 N2 N5 S5 N2 S1 N1 N2 S5,3,56.834,32.427,13.584,14.595,0.000007 ,0.942433 ,
1256,[227] N1 N2 S1 N1 N2 S5 N5 N2 S5,3,56.834,32.427,13.584,14.595,0.000013 ,0.942433 ,
1256,[227] N1 N2 S5 N5 N2 N1 S1 N2 S5,3,56.834,32.427,13.584,14.595,0.000026 ,0.942433 ,
1256,[227] N1 N2 S5 N5 N2 S1 N1 N2 S5,3,56.834,32.427,13.584,14.595,0.000026 ,0.942433 ,
1261,[406] N1 N2 N5 N3 S2 S1 N2 N5 N3 S3,0,56.838,32.431,13.588,14.599,0.000002 ,0.942435 ,
1262,[279] N1 N2 S1 N1 N2 S1 N4 N6 S3,2,56.85,32.443,13.6,14.611,0.000105 ,0.942540 ,
1263,[407] N1 N2 S5 N5 N2 S5 N5 N3 S7,0,56.861,32.454,13.611,14.622,0.000008 ,0.942548 ,
1264,[280] N1 S8 N4 N6 S3 N3 N5 S7,2,56.868,32.461,13.618,14.629,0.000844 ,0.943392 ,
1265,[408] N1 N2 S5 N5 N2 S5 N5 N3 S3,0,56.878,32.471,13.628,14.639,0.000004 ,0.943396 ,
1266,[281] N1 N2 S5 N5 N3 S7 N5 S5,2,56.906,32.499,13.656,14.667,0.000105 ,0.943554 ,
1266,[281] N1 N2 S5 N5 S7 N3 N5 S5,2,56.906,32.499,13.656,14.667,0.000053 ,0.943554 ,
1268,[283] N1 N2 N5 S7 N3 N5 S7 S6,2,56.909,32.502,13.659,14.67,0.000053 ,0.943607 ,
1269,[347] N1 N2 S5 N5 N3 S7 N7 S3,1,56.919,32.512,13.669,14.68,0.000281 ,0.943888 ,
1270,[232] N1 N2 S5 N5 N3 S2 N4 S8,3,56.936,32.529,13.686,14.697,0.000026 ,0.943914 ,
1271,[409] N1 N2 N5 S5 N2 N5 S5 N2 N5 S7,0,56.978,32.571,13.728,14.739,0.000000 ,0.943915 ,
1272,[284] N1 N2 N5 S5 N2 N5 N3 S2 S3,2,57.003,32.596,13.753,14.764,0.000013 ,0.943928 ,
1273,[410] N1 N2 N5 N3 S2 N4 S1 N2 N1 S8,0,57.022,32.615,13.772,14.783,0.000001 ,0.943933 ,
1273,[410] N1 N2 S1 N4 S2 N3 N5 N2 N1 S8,0,57.022,32.615,13.772,14.783,0.000004 ,0.943933 ,
1275,[348] N1 N2 N5 S5 N2 N5 S7 N7 S3,1,57.036,32.629,13.786,14.797,0.000018 ,0.943950 ,
1276,[233] N1 N2 S1 N4 S2 N3 N5 S5,3,57.039,32.632,13.789,14.8,0.000053 ,0.944003 ,
1277,[412] N1 N2 N5 N3 S2 S3 N3 N5 S7,0,57.055,32.648,13.805,14.816,0.000002 ,0.944009 ,
1277,[412] N1 N2 N5 N3 S3 S2 N3 N5 S7,0,57.055,32.648,13.805,14.816,0.000004 ,0.944009 ,
1279,[349] N1 S1 N4 N6 S3 N3 N5 S7,1,57.071,32.664,13.821,14.832,0.000281 ,0.944290 ,
1280,[350] N1 N2 N5 S5 S4 N1 N2 N5 N3 S2,1,57.073,32.666,13.823,14.834,0.000018 ,0.944308 ,
1281,[285] N1 N2 N5 N3 S7 N5 S5 S4,2,57.083,32.676,13.833,14.844,0.000211 ,0.944571 ,
1281,[285] N1 N2 N5 S7 N3 N5 S5 S4,2,57.083,32.676,13.833,14.844,0.000053 ,0.944571 ,
1283,[287] N1 N2 S1 N4 N6 S3 N7 S7,2,57.085,32.678,13.835,14.846,0.003375 ,0.947946 ,
1284,[414] N1 S1 N2 N5 N3 S3 N6 N4 S2,0,57.09,32.683,13.84,14.851,0.000008 ,0.947954 ,
1285,[288] N1 N2 N5 S5 N2 N1 S1 N2 N1 S1,2,57.137,32.73,13.887,14.898,0.000007 ,0.948004 ,
1285,[288] N1 N2 S1 N1 N2 N5 S5 N2 N1 S1,2,57.137,32.73,13.887,14.898,0.000003 ,0.948004 ,
1285,[288] N1 N2 S1 N1 N2 S5 N5 N2 N1 S1,2,57.137,32.73,13.887,14.898,0.000013 ,0.948004 ,
1285,[288] N1 N2 S5 N5 N2 N1 S1 N2 N1 S1,2,57.137,32.73,13.887,14.898,0.000026 ,0.948004 ,
1289,[351] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S2,1,57.186,32.779,13.936,14.947,0.000001 ,0.948004 ,
1290,[352] N1 N2 S1 N1 N2 N5 N3 S3 S2,1,57.236,32.829,13.986,14.997,0.000009 ,0.948013 ,
1291,[234] N1 N2 S1 N1 N2 N5 S7 N3 S2,3,57.244,32.837,13.994,15.005,0.000003 ,0.948016 ,
1292,[353] N1 S1 N2 N5 N3 S7 N5 N2 S5,1,57.249,32.842,13.999,15.01,0.000035 ,0.948060 ,
1292,[353] N1 S1 N2 N5 S7 N3 N5 N2 S5,1,57.249,32.842,13.999,15.01,0.000009 ,0.948060 ,
1294,[292] N1 N2 S5 N5 N2 S5 N5 N2 S5,2,57.257,32.85,14.007,15.018,0.000053 ,0.948113 ,
1295,[293] N1 N2 N5 N3 S2 S1 N4 N6 S3,2,57.268,32.861,14.018,15.029,0.000422 ,0.948535 ,
1296,[355] N1 N2 N5 S5 N2 S1 N4 N6 S3,1,57.273,32.866,14.023,15.034,0.000070 ,0.948886 ,
1296,[355] N1 N2 S5 N5 N2 S1 N4 N6 S3,1,57.273,32.866,14.023,15.034,0.000281 ,0.948886 ,
1298,[415] N1 N2 N5 N3 S7 N5 N3 S2 S3,0,57.284,32.877,14.034,15.045,0.000004 ,0.948890 ,
1299,[416] N1 N2 N5 N3 S3 N6 N4 S2 S1,0,57.29,32.883,14.04,15.051,0.000008 ,0.948898 ,
1300,[235] N1 N2 N5 S7 N3 S3 S2,3,57.294,32.887,14.044,15.055,0.000105 ,0.949017 ,
1300,[235] N1 S1 N2 N5 S7 N3 N5 S7,3,57.294,32.887,14.044,15.055,0.000013 ,0.949017 ,
1302,[294] N1 N2 S1 N4 S8 N1 N2 N5 S7,2,57.351,32.944,14.101,15.112,0.000053 ,0.949069 ,
1303,[295] N1 S8 N4 S1 N2 N5 N3 S7,2,57.368,32.961,14.118,15.129,0.000422 ,0.949491 ,
1304,[296] N1 S8 N4 S1 N2 N5 N3 S3,2,57.385,32.978,14.135,15.146,0.000211 ,0.949702 ,
1305,[297] N1 N2 N5 S5 N2 N1 S8 N4 S2,2,57.405,32.998,14.155,15.166,0.000053 ,0.949966 ,
1305,[297] N1 N2 S5 N5 N2 N1 S8 N4 S2,2,57.405,32.998,14.155,15.166,0.000211 ,0.949966 ,
1307,[237] N1 S1 N4 S2 N3 N5 N2 S5,3,57.417,33.01,14.167,15.178,0.000105 ,0.950071 ,
1308,[417] N1 N2 N5 N3 S7 N5 N2 N1 S1 S2,0,57.435,33.028,14.185,15.196,0.000004 ,0.950076 ,
1308,[417] N1 N2 N5 S7 N3 N5 N2 N1 S1 S2,0,57.435,33.028,14.185,15.196,0.000001 ,0.950076 ,
1310,[238] N1 N2 N5 S5 N2 S1 N4 S8,3,57.486,33.079,14.236,15.247,0.000026 ,0.950208 ,
1310,[238] N1 N2 S5 N5 N2 S1 N4 S8,3,57.486,33.079,14.236,15.247,0.000105 ,0.950208 ,
1312,[240] N1 N2 N5 S7 N7 S3 N3 S2,3,57.496,33.089,14.246,15.257,0.000053 ,0.950261 ,
1313,[357] N1 N2 N5 N3 S2 N4 N6 S3 S2,1,57.504,33.097,14.254,15.265,0.000070 ,0.950366 ,
1313,[357] N1 N2 N5 N3 S2 S3 N6 N4 S2,1,57.504,33.097,14.254,15.265,0.000035 ,0.950366 ,
1315,[241] N1 N2 N5 N3 S2 N4 S8 N1 S1,3,57.517,33.11,14.267,15.278,0.000026 ,0.950498 ,
1315,[241] N1 S8 N4 S2 N3 N5 N2 N1 S1,3,57.517,33.11,14.267,15.278,0.000105 ,0.950498 ,
1317,[419] N1 N2 N5 S7 N7 S3 N6 N4 S2,0,57.537,33.13,14.287,15.298,0.000016 ,0.950514 ,
1318,[420] N1 N2 S5 N5 N3 S7 N5 N2 S5,0,57.538,33.131,14.288,15.299,0.000008 ,0.950525 ,
1318,[420] N1 N2 S5 N5 S7 N3 N5 N2 S5,0,57.538,33.131,14.288,15.299,0.000004 ,0.950525 ,
1320,[422] N1 S1 N2 N5 N3 S7 N5 N2 N1 S1,0,57.552,33.145,14.302,15.313,0.000004 ,0.950530 ,
1320,[422] N1 S1 N2 N5 S7 N3 N5 N2 N1 S1,0,57.552,33.145,14.302,15.313,0.000001 ,0.950530 ,
1322,[359] N1 N2 N5 S5 N2 N5 S5 N2 N1 S1,1,57.56,33.153,14.31,15.321,0.000002 ,0.950550 ,
1322,[359] N1 N2 S5 N5 N2 S5 N5 N2 N1 S1,1,57.56,33.153,14.31,15.321,0.000018 ,0.950550 ,
1324,[299] N1 N2 S5 N5 S7 N3 N5 S7,2,57.583,33.176,14.333,15.344,0.000053 ,0.950603 ,
1325,[361] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S2,1,57.604,33.197,14.354,15.365,0.000002 ,0.950605 ,
1326,[362] N1 N2 N5 S5 N2 N1 S1 N4 S2,1,57.608,33.201,14.358,15.369,0.000018 ,0.950693 ,
1326,[362] N1 N2 S5 N5 N2 N1 S1 N4 S2,1,57.608,33.201,14.358,15.369,0.000070 ,0.950693 ,
1328,[424] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S2,0,57.609,33.202,14.359,15.37,0.000000 ,0.950695 ,
1328,[424] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S2,0,57.609,33.202,14.359,15.37,0.000000 ,0.950695 ,
1328,[424] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S2,0,57.609,33.202,14.359,15.37,0.000000 ,0.950695 ,
1328,[424] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S2,0,57.609,33.202,14.359,15.37,0.000001 ,0.950695 ,
1328,[424] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S2,0,57.609,33.202,14.359,15.37,0.000000 ,0.950695 ,
1333,[429] N1 N2 N5 S5 N2 N5 N3 S3 S2,0,57.659,33.252,14.409,15.42,0.000002 ,0.950697 ,
1334,[300] N1 N2 N5 S5 N2 N5 S7 N3 S2,2,57.667,33.26,14.417,15.428,0.000007 ,0.950703 ,
1335,[364] N1 N2 N5 N3 S2 N4 S1 N2 S5,1,57.671,33.264,14.421,15.432,0.000009 ,0.950747 ,
1335,[364] N1 N2 S1 N4 S2 N3 N5 N2 S5,1,57.671,33.264,14.421,15.432,0.000035 ,0.950747 ,
1337,[366] N1 N2 N5 N3 S7 N7 S3 S2,1,57.7,33.293,14.45,15.461,0.000563 ,0.951442 ,
